chr10	119818422	119819214	793	Maternal	INPP5F
chr11	1997611	2003557	5947	Paternal	H19
chr11	2698551	2701309	2759	Maternal	KCNQ1OT1;KCNQ1
chr15	24951568	24957048	5481	Maternal	SNRPN;SNURF;AC124312.1
chr19	56837125	56841580	4456	Maternal	PEG3;ZIM2;MIMT1
chr20	37520202	37522258	2057	Maternal	BLCAP;NNAT
chr20	58850397	58853144	2748	Maternal	GNAS-AS1;GNAS
chr20	58853850	58856591	2742	Maternal	GNAS
chr4	88696886	88698186	1301	Maternal	NAP1L5;HERC3
chr6	144006708	144009025	2318	Maternal	HYMAI;PLAGL1
chr7	50781814	50783555	1742	Maternal	GRB10
chr8	140097951	140101170	3220	Maternal	PEG13;TRAPPC9
chr14	100809160	100809893	734	Paternal	MEG3
chr14	100810031	100810776	746	Paternal	MEG3
chr7	94656189	94658980	2792	Maternal	SGCE;PEG10
chr15	24477606	24478059	454	Maternal	PWRN1
